Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201026_P23988_AP02_and_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.39,-0.03,0.48,0.13,0.01,0.05,0.05,0.05,55.13,0.72,0.01,2.83,101.38,,5.54,-0.01,0.08,0.01,0.01,0.01,9.33,0.19,0,1.41,0.39,,1.19,0.16,,100.03,0.69,100.72
201026_P23988_AP02_and_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.85,0.02,0.07,-0.01,0,0.02,0.05,0.03,55.79,0.63,0,2.94,101.7,,5.57,0.01,0.01,0,0.01,0,9.4,0.17,0,1.46,0.37,,1.24,0.14,,100.32,0.65,100.97
201026_P23988_AP02_and_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Mar,41.44,-0.01,0.07,0.1,0,0.04,0.02,0.02,55.2,0.88,0,2.89,101.1,,5.55,0,0.01,0,0,0,9.36,0.24,0,1.45,0.32,,1.22,0.2,,99.68,0.56,100.24
201026_P23988_AP02_and_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Apr,41.75,0.05,0.2,0.04,0.01,0.02,0.04,0.04,54.93,0.77,0,2.74,101.25,,5.6,0.02,0.03,0,0.01,0.01,9.32,0.21,0,1.37,0.42,,1.15,0.17,,99.92,0.74,100.66
201026_P23988_AP04_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.6,0.03,0.04,-0.03,0,0,0.06,0.12,55.63,0.58,-0.01,3.39,101.81,,5.52,0.01,0.01,0,0.01,0.02,9.34,0.15,0,1.68,0.17,,1.43,0.13,,100.25,0.3,100.55
201026_P23988_AP04_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.67,0.04,0.07,0.01,-0.01,0.01,0.03,0.02,55.35,0.7,-0.02,3.26,101.61,,5.54,0.01,0.01,0,0,0,9.31,0.19,0,1.62,0.19,,1.37,0.16,,100.08,0.35,100.43
201026_P23988_AP05_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.41,0.01,0.41,0.11,0.01,0,0.04,0.26,55.11,0.45,0.03,3.13,101.23,,5.52,0,0.06,0,0.01,0.03,9.3,0.12,0.01,1.56,0.32,,1.32,0.1,,99.81,0.57,100.38
201026_P23988_AP05_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.97,-0.02,0.04,0.01,0.01,0.01,0.05,0.01,55.66,0.46,0,3.15,101.71,,5.57,-0.01,0.01,0,0.01,0,9.36,0.12,0,1.56,0.31,,1.33,0.1,,100.28,0.56,100.84
201026_P23988_AP06_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.24,-0.02,0.06,-0.02,-0.01,0.02,0.03,0.12,55.41,0.57,-0.02,3.29,101.24,,5.52,-0.01,0.01,0,0,0.02,9.38,0.15,0,1.64,0.2,,1.39,0.13,,99.73,0.36,100.09
201026_P23988_AP06_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,40.95,0,0.34,0.1,0.01,0.01,0.03,0.19,55.19,0.59,0.01,3.12,100.95,,5.49,0,0.05,0,0,0.03,9.37,0.16,0,1.56,0.28,,1.31,0.13,,99.5,0.49,99.99
201026_P23988_AP07_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.8,0.03,0.17,-0.01,-0.01,0.14,0,0,55.34,0.33,-0.02,2.94,100.44,,5.53,0.01,0.03,0.02,0,0,9.49,0.09,0,1.49,0.42,,1.24,0.07,,99.13,0.74,99.87
201026_P23988_AP09_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.96,-0.02,0.4,0.09,0.01,0.01,0.04,0.2,54.98,1.24,0.01,3.02,101.55,,5.47,-0.01,0.06,0,0.01,0.03,9.29,0.33,0,1.51,0.16,,1.27,0.28,,100,0.29,100.28
201026_P23988_AP10_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.29,0.02,0.03,-0.02,0,0.02,0.08,0.13,55.25,1.5,-0.01,2.39,101.21,,5.57,0.01,0,0,0.01,0.02,9.43,0.4,0,1.2,0.39,,1.01,0.34,,99.87,0.69,100.55
201026_P23988_AP10_AP11_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.55,0,0.11,0.02,0,0.02,0.02,0.12,55.82,0.36,-0.01,3.27,101.77,,5.53,0,0.02,0,0,0.02,9.4,0.1,0,1.62,0.28,,1.38,0.08,,100.31,0.49,100.81
201026_P23988_AP114_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.14,0.01,0.43,0.11,0.02,0.01,0.03,0.48,55.17,1.03,0.02,2.84,101.79,,5.49,0,0.07,0,0,0.06,9.33,0.28,0,1.42,0.31,,1.2,0.23,,100.36,0.54,100.9
201026_P23988_AP12_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.88,-0.04,0.08,-0.02,0,0.02,0.06,0.02,55.57,1.06,-0.02,2.48,101.62,,5.61,-0.01,0.01,0,0.01,0,9.42,0.28,0,1.24,0.47,,1.04,0.24,,100.34,0.83,101.17
201026_P23988_AP13_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.97,0.01,0.01,-0.02,0.01,0.07,0,0.02,56.22,0.12,-0.02,4.16,102.63,,5.4,0,0,0.01,0,0,9.39,0.03,0,2.05,-0.08,,1.75,0.03,,100.85,-0.15,100.71
201026_P23988_AP15_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.96,-0.01,0.1,-0.02,0,0,0.06,0.44,55.41,0.53,-0.02,2.97,101.1,,5.53,0,0.02,0,0.01,0.06,9.46,0.14,0,1.5,0.36,,1.25,0.12,,99.73,0.63,100.36
201026_P23988_AP16_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.86,-0.03,0.1,0.01,0,0.03,0.03,0.12,55.38,0.87,-0.01,2.41,101.2,,5.63,-0.01,0.02,0,0,0.02,9.42,0.23,0,1.21,0.56,,1.01,0.2,,99.99,0.97,100.96
201026_P23988_AP16_REF01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,42,0.01,0.08,0.02,0,0.02,0.02,0.07,56.13,0.22,-0.01,2.93,101.82,,5.59,0,0.01,0,0,0.01,9.46,0.06,0,1.46,0.48,,1.23,0.05,,100.54,0.85,101.39
201026_P23988_AP16_REF02_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.4,0.01,0.04,-0.01,0,-0.01,0.02,0.04,55.85,0.23,0,3.11,102.01,,5.61,0,0.01,0,0,0.01,9.36,0.06,0,1.54,0.4,,1.31,0.05,,100.65,0.71,101.36
