Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201027_P24543_AP01_REF4,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.91,0.09,0.04,-0.02,0,0.03,0.62,0.37,54.39,0.62,0.06,2.65,101.09,,5.63,0.03,0.01,0,0.08,0.05,9.25,0.17,0.01,1.33,0.5,,1.12,0.14,,99.83,0.88,100.72
201027_P24543_AP01_REF5,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.51,0.11,0.04,-0.01,0,0.03,0.63,0.44,54.09,0.73,0.1,2.5,100.47,,5.62,0.03,0.01,0,0.09,0.06,9.27,0.2,0.02,1.27,0.54,,1.05,0.16,,99.25,0.94,100.19
201027_P24543_AP01_REF7,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.43,0.06,0.04,-0.01,0.02,0.02,0.33,0.21,54.83,0.54,0.04,2.76,101.5,,5.65,0.02,0.01,0,0.04,0.03,9.24,0.14,0.01,1.37,0.48,,1.16,0.12,,100.22,0.85,101.07
201027_P24543_AP01_REF8,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.69,0.04,0.03,0,0.01,0.01,0.27,0.14,54.99,0.45,0.02,2.83,101.71,,5.67,0.01,0,0,0.04,0.02,9.24,0.12,0,1.4,0.48,,1.19,0.1,,100.42,0.84,101.26
201027_P24543_AP02_and_AP16_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.78,0.07,0.06,-0.01,0.02,0.04,0.51,0.33,54.48,0.64,0.07,2.81,101.2,,5.6,0.02,0.01,0,0.07,0.04,9.24,0.17,0.02,1.41,0.42,,1.18,0.14,,99.87,0.74,100.61
201027_P24543_AP02_and_AP16_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.31,0.06,0.03,-0.02,0,0.02,0.61,0.45,54.25,0.82,0.09,2.48,101.39,,5.67,0.02,0,0,0.08,0.06,9.19,0.22,0.02,1.24,0.54,,1.04,0.19,,100.16,0.95,101.11
201027_P24543_AP02_and_AP16_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Mar,43,0.1,0.05,-0.02,0.01,0.06,0.51,0.39,54.13,0.62,0.09,2.86,102.12,,5.68,0.03,0.01,0.01,0.07,0.05,9.05,0.16,0.02,1.41,0.43,,1.2,0.14,,100.78,0.75,101.53
201027_P24543_AP03_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.26,0.1,0.04,-0.02,0,0.04,0.68,0.48,54.13,1.05,0.12,2.27,101.47,,5.67,0.03,0.01,0,0.09,0.06,9.19,0.28,0.03,1.14,0.58,,0.96,0.24,,100.28,1.02,101.29
201027_P24543_AP03_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.25,0.07,0.08,0,0.03,0.06,0.62,0.48,53.71,0.81,0.12,2.59,101.13,,5.66,0.02,0.01,0.01,0.08,0.06,9.1,0.22,0.03,1.3,0.49,,1.09,0.18,,99.86,0.86,100.71
201027_P24543_AP04_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.54,0.09,0.04,-0.04,0.01,0.06,0.68,0.49,54.19,0.73,0.09,2.69,101.87,,5.66,0.03,0.01,0.01,0.09,0.06,9.12,0.19,0.02,1.34,0.47,,1.13,0.16,,100.57,0.83,101.4
201027_P24543_AP05_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.57,0.03,0.03,0,0,0.02,0.23,0.16,55.6,0.34,0.03,3.04,102.22,,5.62,0.01,0,0,0.03,0.02,9.29,0.09,0.01,1.5,0.41,,1.28,0.08,,100.86,0.73,101.59
201027_P24543_AP05_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.55,0.03,0.06,0,0,0.01,0.34,0.35,55.03,0.48,0.05,2.95,102.05,,5.63,0.01,0.01,0,0.04,0.05,9.21,0.13,0.01,1.46,0.42,,1.24,0.11,,100.7,0.73,101.43
201027_P24543_AP06_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,37.33,0.03,13.9,0.62,0.01,0.04,0.43,0.33,49.18,0.53,0.13,2.6,105.36,,4.63,0.01,2.04,0,0.05,0.04,7.72,0.13,0.03,1.2,0.66,,1.09,0.12,,104.15,1.21,105.35
201027_P24543_AP06_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.17,0.08,0.05,-0.01,-0.01,0.04,0.46,0.29,54.65,0.57,0.08,2.85,101.43,,5.62,0.02,0.01,0,0.06,0.04,9.22,0.15,0.02,1.42,0.43,,1.2,0.13,,100.1,0.76,100.86
201027_P24543_AP06_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Mar,42.31,0.06,0.06,-0.03,0,0.05,0.41,0.25,53.94,0.42,0.05,2.91,100.74,,5.66,0.02,0.01,0.01,0.05,0.03,9.14,0.11,0.01,1.45,0.43,,1.23,0.09,,99.42,0.77,100.19
201027_P24543_AP07_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.16,0.06,0.03,-0.03,0.01,0.06,0.53,0.39,54.59,0.65,0.09,2.81,101.54,,5.62,0.02,0,0.01,0.07,0.05,9.21,0.17,0.02,1.4,0.43,,1.18,0.15,,100.21,0.75,100.96
201027_P24543_AP07_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,41.92,0.08,0.03,-0.02,-0.01,0.05,0.66,0.45,54.07,0.9,0.1,2.85,101.46,,5.6,0.02,0,0.01,0.09,0.06,9.14,0.24,0.02,1.42,0.34,,1.2,0.2,,100.06,0.6,100.65
201027_P24543_AP08_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.17,0.05,0.06,-0.01,0,0.03,0.56,0.48,54.45,0.68,0.08,2.68,101.59,,5.63,0.02,0.01,0,0.07,0.06,9.21,0.18,0.02,1.34,0.48,,1.13,0.15,,100.31,0.84,101.15
201027_P24543_AP08_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.08,0.11,0.07,0.01,0.03,0.03,0.56,0.57,53.93,0.69,0.1,2.64,101.19,,5.64,0.03,0.01,0,0.08,0.08,9.15,0.19,0.02,1.32,0.49,,1.11,0.16,,99.92,0.86,100.79
201027_P24543_AP09_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,39.85,0.05,1.61,0.73,0.01,0.04,0.52,1.66,49.95,0.68,0.62,2.49,98.51,,5.47,0.02,0.26,0,0.07,0.22,8.67,0.19,0.15,1.28,0.54,,1.05,0.15,,97.31,0.95,98.26
201027_P24543_AP09_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.52,0.09,0.02,-0.02,0,0.04,0.62,0.62,54.16,0.7,0.09,2.75,101.87,,5.65,0.03,0,0,0.08,0.08,9.11,0.19,0.02,1.37,0.45,,1.16,0.16,,100.55,0.79,101.34
201027_P24543_AP09_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Mar,42.29,0.09,0,-0.01,0,0.05,0.63,0.54,54.01,0.78,0.12,2.5,101.26,,5.67,0.03,0,0.01,0.08,0.07,9.16,0.21,0.03,1.25,0.54,,1.05,0.18,,100.03,0.95,100.98
201027_P24543_AP09_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Apr,42.3,0.05,0.04,-0.02,-0.01,0.04,0.59,0.52,54.21,0.75,0.1,2.54,101.44,,5.66,0.02,0.01,0,0.08,0.07,9.18,0.2,0.02,1.27,0.53,,1.07,0.17,,100.2,0.93,101.13
201027_P24543_AP09_Transect_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-May,39.51,0.06,2.28,0.63,0.12,0.03,0.41,1.03,52.09,0.5,0.29,2.83,99.99,,5.33,0.02,0.36,0,0.06,0.14,8.9,0.14,0.07,1.43,0.44,,1.19,0.11,,98.69,0.77,99.46
201027_P24543_AP10_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.16,0.03,0.04,-0.01,-0.01,0.02,0.44,0.14,55.13,0.31,0.04,3.11,101.65,,5.6,0.01,0.01,0,0.06,0.02,9.27,0.08,0.01,1.54,0.37,,1.31,0.07,,100.27,0.66,100.93
201027_P24543_AP10_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.64,0.1,0.04,-0.02,0.04,0.04,0.49,0.34,54.74,0.65,0.07,3,102.53,,5.62,0.03,0.01,0,0.06,0.04,9.13,0.17,0.02,1.48,0.35,,1.26,0.15,,101.12,0.62,101.74
201027_P24543_AP11_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.36,0.09,0.07,-0.02,0,0.03,0.69,0.41,54.02,0.93,0.14,2.33,101.36,,5.68,0.03,0.01,0,0.09,0.05,9.17,0.25,0.03,1.17,0.58,,0.98,0.21,,100.17,1.02,101.19
201027_P24543_AP11_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,42.11,0.05,0.06,-0.02,0,0.03,0.65,0.41,53.33,0.84,0.12,2.46,100.42,,5.69,0.02,0.01,0,0.09,0.05,9.11,0.23,0.03,1.24,0.53,,1.04,0.19,,99.19,0.94,100.13
201027_P24543_AP13_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.05,0.09,0.04,-0.02,0,0.03,0.54,0.36,54.05,0.65,0.07,2.82,100.99,,5.63,0.03,0.01,0,0.07,0.05,9.16,0.17,0.02,1.41,0.41,,1.19,0.15,,99.66,0.73,100.39
201027_P24543_AP15_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.16,0.07,0.03,-0.03,0.02,0.03,0.57,0.47,54.37,0.78,0.09,2.52,101.54,,5.65,0.02,0,0,0.08,0.06,9.22,0.21,0.02,1.26,0.53,,1.06,0.18,,100.3,0.93,101.23
201027_P24543_AP17_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.25,0.07,0.05,-0.03,0.01,0.03,0.68,0.49,53.98,0.95,0.13,2.6,101.49,,5.64,0.02,0.01,0,0.09,0.06,9.12,0.25,0.03,1.3,0.45,,1.09,0.21,,100.18,0.79,100.97
201027_P24543_AP19_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.29,0.06,0.04,-0.02,0,0.04,0.52,0.41,54.35,0.61,0.08,2.69,101.41,,5.65,0.02,0.01,0,0.07,0.05,9.19,0.16,0.02,1.34,0.49,,1.13,0.14,,100.14,0.87,101.01
201027_P24543_AP21_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.31,0.07,0.04,-0.02,0,0.04,0.61,0.52,54.31,0.75,0.11,2.76,101.83,,5.63,0.02,0.01,0,0.08,0.07,9.15,0.2,0.03,1.37,0.43,,1.16,0.17,,100.5,0.75,101.25
201028_P23986_AP01_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.54,0.11,0.12,-0.04,0,0.05,0.64,0.44,54.09,0.62,0.11,3.23,102.32,,5.6,0.03,0.02,0.01,0.08,0.06,9.01,0.16,0.03,1.59,0.25,,1.36,0.14,,100.82,0.44,101.26
201028_P23986_AP01_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,42.31,0.12,0.04,-0.01,0,0.05,0.56,0.34,54.16,0.58,0.07,3.22,101.81,,5.6,0.04,0.01,0.01,0.07,0.04,9.07,0.15,0.02,1.59,0.25,,1.36,0.13,,100.32,0.45,100.77
201028_P23986_AP01_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Mar,42.05,0.12,0.02,-0.02,0,0.04,0.58,0.34,54.14,0.63,0.09,3.3,101.62,,5.58,0.04,0,0,0.08,0.04,9.08,0.17,0.02,1.63,0.2,,1.39,0.14,,100.09,0.35,100.44
201028_P23986_AP01_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Apr,42.27,0.12,0.04,-0.02,-0.01,0.05,0.58,0.39,53.99,0.7,0.11,3.25,101.94,,5.59,0.04,0.01,0.01,0.08,0.05,9.04,0.19,0.03,1.61,0.21,,1.37,0.16,,100.41,0.37,100.79
201028_P23986_AP01_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-May,5.61,0.76,26.47,15.74,0.28,0.01,0.51,15.73,7.11,0.04,15.07,0.06,87.46,,0.86,0.27,4.81,0,0.08,2.39,1.39,0.01,4.08,0.03,1.95,,0.03,0.01,,87.43,3.36,90.79
201028_P23986_AP03_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.87,0.05,0.03,0,-0.01,0.05,0.63,0.39,53.9,0.74,0.08,2.92,101.09,,5.61,0.02,0,0.01,0.08,0.05,9.13,0.2,0.02,1.46,0.34,,1.23,0.17,,99.69,0.6,100.3
201028_P23986_AP05_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.72,0.1,0.04,-0.01,0,0.05,0.53,0.23,54.16,0.52,0.07,3.59,101.32,,5.53,0.03,0.01,0.01,0.07,0.03,9.09,0.14,0.02,1.78,0.08,,1.51,0.12,,99.69,0.15,99.84
201028_P23986_AP06_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.62,0.15,0.03,-0.01,0,0.05,0.45,0.27,54.16,0.4,0.06,3.03,100.53,,5.6,0.05,0,0.01,0.06,0.04,9.22,0.11,0.01,1.52,0.37,,1.28,0.09,,99.16,0.65,99.82
201028_P23986_AP07_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.32,0.1,0.01,-0.03,0.01,0.08,0.62,0.34,54.13,0.65,0.09,2.95,101.67,,5.63,0.03,0,0.01,0.08,0.04,9.11,0.17,0.02,1.47,0.36,,1.24,0.15,,100.28,0.64,100.92
201028_P23986_AP08_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.06,0.09,0.03,-0.03,0,0.05,0.64,0.38,53.9,0.67,0.08,3.26,101.59,,5.58,0.03,0,0.01,0.09,0.05,9.06,0.18,0.02,1.62,0.2,,1.37,0.15,,100.07,0.36,100.43
201028_P23986_AP09_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.15,0.06,0.01,-0.02,0,0.07,0.46,0.22,54.31,0.45,0.05,3.18,101.21,,5.61,0.02,0,0.01,0.06,0.03,9.15,0.12,0.01,1.58,0.3,,1.34,0.1,,99.77,0.53,100.3
201028_P23986_AP09_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,40.6,0.08,0.24,-0.02,0,0.07,0.51,0.24,53.88,0.47,0.05,3.6,100.04,,5.47,0.02,0.04,0.01,0.07,0.03,9.18,0.13,0.01,1.81,0.06,,1.52,0.11,,98.42,0.11,98.53
201028_P23986_AP10_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.88,0.11,0.01,-0.01,0,0.09,0.54,0.3,53.92,0.64,0.08,3.19,101.07,,5.58,0.03,0,0.01,0.07,0.04,9.1,0.17,0.02,1.59,0.24,,1.34,0.14,,99.58,0.43,100.01
201028_P23986_AP11_0`_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.1,0.09,0.01,-0.03,0,0.04,0.62,0.39,53.82,0.69,0.1,2.89,100.09,,5.57,0.03,0,0,0.08,0.05,9.23,0.19,0.02,1.46,0.35,,1.22,0.16,,98.72,0.61,99.33
201028_P23986_AP11_0`_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,37.15,0.07,2.12,1.23,0,0.05,0.53,2.46,48.09,0.46,1.64,2.64,96.69,,5.21,0.02,0.35,0.01,0.07,0.34,8.54,0.13,0.41,1.38,0.49,,1.11,0.1,,95.47,0.85,96.33
201028_P23986_AP12_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.61,0.1,0.05,-0.03,0,0.11,0.58,0.35,53.79,0.68,0.11,3.09,100.82,,5.58,0.03,0.01,0.01,0.08,0.05,9.12,0.18,0.03,1.55,0.27,,1.3,0.15,,99.37,0.48,99.85
201028_P23986_AP12_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,41.27,0.08,0.02,0,0.03,0.04,0.58,0.3,54.06,0.7,0.06,3.24,100.8,,5.54,0.02,0,0,0.08,0.04,9.18,0.19,0.01,1.62,0.19,,1.36,0.16,,99.28,0.33,99.61
201028_P23986_AP13_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.51,0.09,0.03,-0.01,0.01,0.09,0.64,0.43,53.67,0.7,0.1,2.86,100.44,,5.6,0.03,0,0.01,0.09,0.06,9.16,0.19,0.02,1.44,0.37,,1.2,0.16,,99.08,0.65,99.73
201028_P23986_AP14_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.55,0.07,0.07,-0.01,0,0.03,0.6,0.36,53.67,0.71,0.09,3.06,100.66,,5.58,0.02,0.01,0,0.08,0.05,9.13,0.19,0.02,1.54,0.27,,1.29,0.16,,99.21,0.48,99.7
201028_P23986_AP14_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,42.97,0.11,0.23,0,0,0.05,0.49,0.28,53.97,0.52,0.06,2.97,101.93,,5.67,0.03,0.04,0.01,0.06,0.04,9.01,0.14,0.01,1.46,0.4,,1.25,0.12,,100.56,0.71,101.27
201028_P23986_AP14_STD01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.92,0.11,0.04,0,0,0.05,0.59,0.4,54.23,0.7,0.11,2.87,101.46,,5.6,0.03,0.01,0.01,0.08,0.05,9.17,0.19,0.03,1.43,0.38,,1.21,0.16,,100.09,0.67,100.76
201028_P23986_AP14_STD02_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.92,0.06,0.03,-0.01,-0.01,0.07,0.59,0.4,54.03,0.72,0.11,2.79,101.22,,5.62,0.02,0,0.01,0.08,0.05,9.17,0.19,0.03,1.4,0.41,,1.17,0.16,,99.88,0.72,100.61
201028_P23986_AP14_STD03_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.9,0.09,0.04,-0.01,0.01,0.05,0.6,0.35,54.21,0.59,0.09,2.88,101.19,,5.61,0.03,0.01,0.01,0.08,0.05,9.19,0.16,0.02,1.44,0.4,,1.21,0.13,,99.84,0.71,100.55
201028_P23986_AP14_STD04_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.19,0.1,0.05,0,-0.01,0.05,0.58,0.37,53.93,0.66,0.07,2.86,101.19,,5.64,0.03,0.01,0.01,0.08,0.05,9.12,0.18,0.02,1.43,0.4,,1.2,0.15,,99.84,0.7,100.54
201028_P23986_AP14_STD06_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.77,0.12,0.03,-0.03,0,0.05,0.6,0.34,53.96,0.64,0.08,3.1,101.07,,5.59,0.04,0,0.01,0.08,0.04,9.13,0.17,0.02,1.55,0.28,,1.31,0.14,,99.62,0.5,100.12
201028_P23986_AP15_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.25,0.1,0.03,-0.01,0,0.06,0.56,0.39,53.57,0.7,0.09,3.07,101.26,,5.63,0.03,0,0.01,0.07,0.05,9.03,0.19,0.02,1.53,0.29,,1.29,0.16,,99.81,0.51,100.32
201028_P23986_AP16_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,42.33,0.08,0.04,-0.01,0,0.05,0.57,0.43,53.86,0.69,0.11,3.05,101.65,,5.62,0.02,0.01,0.01,0.08,0.06,9.05,0.18,0.03,1.51,0.3,,1.28,0.16,,100.21,0.54,100.75
201028_P23986_AP16_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Feb,42.4,0.17,0.04,0,0,0.12,0.65,0.65,53.59,0.66,0.11,3.14,101.92,,5.61,0.05,0.01,0.01,0.09,0.08,8.97,0.17,0.03,1.55,0.27,,1.32,0.15,,100.45,0.49,100.93
201028_P23986_AP17_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.3,0.09,0.03,-0.03,-0.01,0.07,0.62,0.34,54.21,0.62,0.09,3.23,100.88,,5.53,0.03,0,0.01,0.08,0.05,9.19,0.17,0.02,1.62,0.22,,1.36,0.14,,99.38,0.38,99.76
201028_P23986_AP18_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.59,0.07,0.01,-0.02,0,0.05,0.49,0.24,54.25,0.38,0.05,3.1,100.66,,5.59,0.02,0,0.01,0.07,0.03,9.23,0.1,0.01,1.56,0.34,,1.31,0.09,,99.27,0.6,99.87
201028_P23986_AP19_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.36,0.1,0.02,-0.03,0,0.07,0.5,0.23,54.42,0.52,0.05,3.07,100.72,,5.56,0.03,0,0.01,0.07,0.03,9.26,0.14,0.01,1.54,0.32,,1.29,0.12,,99.31,0.56,99.87
201028_P23986_AP21_01_Qti,5,QVC028,Quellaveco Granodiorite,Groundmass,NA,01-Jan,41.79,0.12,0.08,-0.01,0,0.09,0.54,0.3,53.98,0.62,0.07,3.31,101.26,,5.56,0.04,0.01,0.01,0.07,0.04,9.09,0.17,0.02,1.65,0.19,,1.39,0.14,,99.73,0.34,100.06
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,36.86,1.34,9.33,3.63,0.03,0.04,0.88,1.28,45.34,0.42,1.97,2.58,103.85,,4.68,0.39,1.4,0,0.11,0.16,7.29,0.11,0.44,1.22,0.67,,1.09,0.09,,102.67,1.2,103.87
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,42.04,0.09,0.07,0.01,0,0.02,1.18,0.24,53.83,0.78,0.07,2.57,101.19,,5.64,0.03,0.01,0,0.16,0.03,9.14,0.21,0.02,1.29,0.5,,1.08,0.18,,99.93,0.88,100.81
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Mar,42.27,0.05,0.02,-0.02,0.01,0.02,1.19,0.27,53.82,0.99,0.08,2.46,101.52,,5.66,0.02,0,0,0.16,0.04,9.12,0.27,0.02,1.23,0.5,,1.04,0.22,,100.26,0.88,101.14
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Apr,42.3,0.05,0.03,-0.02,0,0.02,1.17,0.25,53.76,0.85,0.07,2.49,101.24,,5.67,0.02,0,0,0.16,0.03,9.12,0.23,0.02,1.25,0.52,,1.05,0.19,,100,0.92,100.92
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-May,42.3,0.08,0.02,-0.01,-0.01,0.03,1.2,0.3,53.55,1.14,0.08,2.27,101.21,,5.68,0.02,0,0,0.16,0.04,9.1,0.31,0.02,1.14,0.55,,0.96,0.26,,100,0.97,100.97
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jun,42.33,0.08,0.02,-0.02,0,0.04,1.17,0.26,53.44,0.82,0.07,2.5,101.11,,5.68,0.02,0,0,0.16,0.03,9.08,0.22,0.02,1.25,0.53,,1.05,0.19,,99.87,0.92,100.8
201028_P23987_AP01_Transect_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jul,42.09,0.12,0.27,0.1,0.03,0.05,1.22,0.28,52.94,0.94,0.07,2.54,100.97,,5.65,0.04,0.04,0.01,0.16,0.04,8.99,0.25,0.02,1.27,0.47,,1.07,0.21,,99.69,0.84,100.52
201028_P23987_AP02_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.28,0.04,0.01,-0.02,0.01,0.02,1.12,0.28,53.24,1.06,0.08,2.36,101.11,,5.69,0.01,0,0,0.15,0.04,9.07,0.29,0.02,1.19,0.53,,0.99,0.24,,99.88,0.92,100.8
201028_P23987_AP03_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.53,0.09,0.06,-0.02,0,0.04,1.08,0.26,53.73,0.94,0.08,2.56,101.73,,5.67,0.03,0.01,0,0.14,0.03,9.06,0.25,0.02,1.27,0.47,,1.08,0.21,,100.44,0.83,101.27
201028_P23987_AP03_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,42.19,0.05,0.04,-0.01,0.03,0.04,1.12,0.29,53.59,0.75,0.07,2.95,101.39,,5.62,0.02,0.01,0,0.15,0.04,9.04,0.2,0.02,1.47,0.33,,1.24,0.17,,99.98,0.59,100.56
201028_P23987_AP04_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.56,0.05,0,-0.02,0,0.03,0.52,0.15,54.7,0.46,0.05,2.93,101.69,,5.65,0.02,0,0,0.07,0.02,9.19,0.12,0.01,1.45,0.42,,1.23,0.1,,100.35,0.75,101.1
201028_P23987_AP04_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,40.21,0.08,0.49,0.25,0.29,4.16,0.67,0.18,48.28,0.36,0.07,1.89,97.11,,5.48,0.02,0.08,0.5,0.09,0.02,8.33,0.1,0.02,0.96,0.94,,0.8,0.08,,96.23,1.68,97.91
201028_P23987_AP05_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.31,0.09,-0.01,-0.02,-0.01,0.03,1.01,0.31,53.9,0.83,0.08,2.74,101.63,,5.64,0.03,0,0,0.13,0.04,9.1,0.22,0.02,1.37,0.41,,1.15,0.19,,100.29,0.73,101.02
201028_P23987_AP06_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.5,0.08,0.01,-0.01,-0.01,0.04,1.02,0.23,54.1,0.86,0.08,2.74,101.85,,5.64,0.02,0,0,0.14,0.03,9.09,0.23,0.02,1.36,0.41,,1.15,0.19,,100.5,0.73,101.23
201028_P23987_AP06_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,43.01,0.06,0.1,-0.01,0,0.02,0.97,0.22,54.17,0.5,0.07,2.87,102.28,,5.68,0.02,0.02,0,0.13,0.03,9.05,0.13,0.02,1.41,0.45,,1.21,0.11,,100.96,0.8,101.76
201028_P23987_AP07_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,41.92,0.07,0.03,0,0.01,0.04,1.12,0.29,53.84,0.87,0.07,3.04,101.56,,5.58,0.02,0,0,0.15,0.04,9.07,0.23,0.02,1.51,0.26,,1.28,0.2,,100.08,0.45,100.54
201028_P23987_AP08_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.14,0.06,0.03,-0.01,0,0.02,0.9,0.27,53.79,1.04,0.08,2.45,101.01,,5.66,0.02,0,0,0.12,0.04,9.14,0.28,0.02,1.23,0.49,,1.03,0.23,,99.74,0.86,100.61
